exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,lots,sl_pips,risk_per_trade,duration,exit_type,balance
98,0,LONG,2032.813,2197.2824,657.8775999999998,0.4,109.64626666666673,0.005,99,tp,10000.0
112,98,LONG,2203.501,2287.652759049565,824.687238685733,0.98,56.101172699709835,0.005,15,tp,10657.8776
139,112,LONG,2297.448,2297.448,0.0,0.81,65.12467875421211,0.005,28,be,11482.564838685732
156,139,LONG,2291.244,2400.809052097768,854.6074063625895,0.78,73.04336806517854,0.005,18,tp,11482.564838685732
162,156,LONG,2413.933,2344.9397415172407,-620.9393263448337,0.9,68.99325848275912,0.005,7,sl,12337.172245048321
216,162,LONG,2332.012,2438.996490516531,791.6852298223291,0.74,71.32299367768734,0.005,55,tp,11716.232918703488
219,216,LONG,2468.278,2406.270700099391,-589.0693490557837,0.95,62.00729990060866,0.005,4,sl,12507.918148525818
247,219,LONG,2400.451,2506.98840350295,894.9141894247794,0.84,71.0249356686332,0.005,29,tp,11918.848799470034
286,247,LONG,2507.82,2630.334331447841,980.1146515827277,0.8,81.67622096522742,0.005,40,tp,12813.762988894812
314,286,LONG,2658.204,2743.9499521317452,934.6308782360213,1.09,57.1639680878301,0.005,29,tp,13793.87764047754
329,314,LONG,2746.553,2689.8779220814854,-770.781059691797,1.36,56.67507791851429,0.005,16,sl,14728.508518713561
336,329,LONG,2664.048,2585.150898332459,-741.6327556748847,0.94,78.89710166754077,0.005,8,sl,13957.727459021764
345,336,LONG,2570.989,2690.8352799718928,946.7856117779526,0.79,79.89751998126185,0.005,10,tp,13216.09470334688
348,345,LONG,2715.573,2643.673876823524,-704.6114071294625,0.98,71.89912317647561,0.005,4,sl,14162.880315124832
371,348,LONG,2610.46,2610.46,0.0,0.74,84.46717559073092,0.005,24,be,13458.268907995369
400,371,LONG,2588.225,2699.744153628785,970.2166365704318,0.87,74.34610241919027,0.005,30,tp,13458.268907995369
414,400,LONG,2714.578,2790.4997379901306,964.206072474659,1.27,50.61449199342034,0.005,15,tp,14428.485544565801
425,414,LONG,2796.146,2879.077673350726,1069.8185862243624,1.29,55.287782233817296,0.005,12,tp,15392.69161704046
461,425,LONG,2917.847,3031.367804934859,1282.7850957639057,1.13,75.68053662323939,0.005,37,tp,16462.51020326482
476,461,LONG,3031.774,3124.7290258189323,1236.3018433918014,1.33,61.97001721262174,0.005,16,tp,17745.295299028727
478,476,LONG,3162.709,3067.9493038183487,-1137.1163541798142,1.2,94.75969618165112,0.005,3,sl,18981.597142420527
485,478,LONG,3038.506,3235.7645910313267,1479.4394327349517,0.75,131.50572735421787,0.005,8,tp,17844.48078824071
505,485,LONG,3237.519,3237.519,0.0,0.61,151.00020163749008,0.005,21,be,19323.920220975662
516,505,LONG,3237.253,3237.253,0.0,0.63,141.3400447028685,0.005,12,be,19323.920220975662
587,516,LONG,3236.88,3396.532,1005.8076000000003,0.63,141.7814979126903,0.005,71,end,19323.920220975662
